Type,peak_to_peak_amplitude,mean_amplitude_peaks,mean_amplitude_valleys,std_deviation_peak_amplitudes,std_deviation_valley_amplitudes,signal_energy,signal_power,zero_crossing_rate
AA_DA,6.892341262,0.330115219,0.009146931,1.326787419,1.152747336,565.9224024,3.109463749,0.620879121
AA_DA,7.133973678,0.151689983,-0.150673438,1.297508327,1.181695547,558.6230475,3.069357404,0.620879121
AA_DA,7.016493305,0.099321215,0.062084991,1.223147828,1.086648641,469.8210164,2.581434156,0.582417582
AA_DA,6.717286646,0.076972691,0.08137351,1.217988967,1.098671574,476.2808334,2.616927656,0.582417582
AA_DA,7.262785925,0.113926169,0.02536087,1.206658862,1.162294333,479.8181476,2.636363449,0.582417582
DA,6.845600206,0.052773913,0.08289351,1.210437621,1.358208612,570.5590871,3.134940039,0.615384615
DA,6.853898378,-0.081194844,0.12085889,1.214118057,1.336222546,595.3158958,3.27096646,0.615384615
DA,7.009228303,0.019615564,0.025353728,1.175245227,1.431594679,578.8217714,3.180339403,0.615384615
DA,6.571162845,0.16136166,0.197941529,1.199515208,1.324150547,585.8470328,3.218939741,0.60989011
DA,6.507581174,0.077382397,0.221060208,1.18315054,1.349867556,580.7024275,3.190672678,0.598901099
DA,8.511948281,0.268006536,0.204376104,1.428967796,1.059382806,571.8168653,3.141850908,0.598901099
DA,8.341866249,0.263320163,0.243700619,1.416942584,1.045523088,573.0001907,3.148352696,0.598901099
DA,8.566471051,0.223274542,0.24962088,1.414669478,1.056380972,564.7564942,3.10305766,0.587912088
UA,5.546852846,0.12713091,0.050271779,1.102323208,1.027131897,420.649767,2.311262456,0.532967033
UA,6.024287214,-0.043016704,-0.025594217,1.186513256,1.074712242,447.3469239,2.457950131,0.576923077
UA,5.272777298,0.1685349,0.10882041,1.129455212,0.972667367,424.8553129,2.334369851,0.554945055
UA,6.686504479,0.166831409,0.082547961,1.256735685,1.104910142,490.3567745,2.694267992,0.587912088
UA,6.682439113,0.204206825,0.108309411,1.248170949,1.116860962,492.4793802,2.705930661,0.587912088
UA,6.890915222,0.219305035,0.063110804,1.254163104,1.166929288,518.8526389,2.850838675,0.587912088
UA,6.283379656,0.146986258,0.124134368,1.213402126,1.081775902,455.4591622,2.502522869,0.587912088
UA,4.372437175,-0.138512757,0.010924379,1.115650196,0.978920428,420.6507339,2.311267769,0.576923077
UA,5.911137863,-0.110239379,0.010617487,1.226975394,1.038751978,463.2015206,2.5450633,0.565934066
UA,4.924291486,0.145156365,0.091892683,1.142404185,1.00700698,437.5412237,2.404072658,0.543956044
UA,4.341108581,0.050436895,0.153282165,1.122139756,0.965588003,416.7498259,2.289834208,0.554945055
UA,5.320176351,0.046194114,0.090007635,1.121809114,0.979660027,422.6102734,2.322034469,0.554945055
UA,4.751369402,-0.088094713,0.110611421,1.184693618,0.976976667,433.0426571,2.379355259,0.543956044
UA,6.089418756,0.050816518,0.000848491,1.18061029,1.394512642,574.1097429,3.154449137,0.615384615
UA,8.878207983,-0.118584145,-0.158855603,1.691172374,1.356041206,829.4938424,4.557658475,0.587912088
UA,6.694859061,0.288133252,0.321426554,1.26130915,1.116725121,512.2586261,2.814607836,0.598901099
UA,5.946618733,-0.071970543,0.008844091,1.181502502,1.0812117,441.3347552,2.424916238,0.598901099
UA,7.243950188,0.012932191,0.047016797,1.358964249,1.077896823,525.4639011,2.887164292,0.598901099
UA,6.696909749,0.142851171,0.162394014,1.211339624,1.163603684,489.151774,2.68764711,0.598901099
UA,6.708820926,0.250482325,0.198542177,1.260089292,1.098058663,499.7465351,2.745860083,0.598901099
UA,3.958181216,-0.047451312,0.03048478,1.087913324,0.933950295,344.8710963,1.894896133,0.620879121
UA,4.029524036,-0.032478487,0.058050293,1.102068176,0.951026422,352.2435857,1.935404317,0.60989011
UA,3.778533197,-0.138551464,0.13925918,1.057596705,0.938193795,351.797623,1.932953972,0.620879121
DA,5.954692876,-0.053904364,-0.014535788,1.093362757,0.875795704,343.4507323,1.887091936,0.620879121
DA,3.653012764,-0.14706189,0.00476282,1.082770987,0.968366171,361.1583701,1.984386649,0.60989011
DA,3.687169052,0.030586251,0.046194197,1.121203615,1.018253692,390.4494194,2.14532648,0.598901099
DA,3.774498128,-0.08884129,0.182760092,1.18802632,1.013167617,427.0757604,2.346570112,0.576923077
DA,4.045286385,0.049314054,0.043163787,1.101206196,0.966953594,367.3180057,2.0182308,0.587912088
DA,3.735126319,0.061617829,0.133516267,1.069630997,0.91044203,350.324015,1.924857225,0.60989011
DA,6.816697183,-0.217380321,-0.166619161,1.505807697,1.703733235,934.596891,5.135147753,0.576923077
